24,49,74,100,111,151,176,201,227,251,276,302,327,352,378,403,428,453,478,502,
25,50,75,100,125,151,176,201,226,252,277,302,306,353,372,403,428,453,478,492,
25,50,75,100,125,151,176,201,227,237,264,302,323,353,377,403,428,453,478,504,
25,50,75,100,126,151,176,201,226,252,277,302,327,353,378,403,428,453,471,485,
23,50,75,100,126,151,176,201,227,251,277,302,328,352,378,403,428,453,478,504,
25,50,75,100,110,146,176,197,226,252,277,294,328,352,378,403,428,453,478,503,
25,50,75,100,126,151,176,201,226,247,277,302,327,353,378,403,428,454,478,504,
25,50,75,101,125,151,176,201,226,251,277,302,328,353,370,403,428,453,478,503,
25,50,75,100,125,151,176,201,226,252,277,302,328,313,360,403,409,453,479,504,
25,50,75,100,125,151,176,201,226,252,277,303,328,353,378,403,428,453,337,497,
25,50,75,101,125,150,176,201,227,252,276,303,320,352,378,403,426,262,465,489,
25,48,73,98,121,146,171,196,220,244,277,303,328,353,378,403,428,452,470,504,
25,50,75,100,125,151,176,201,226,242,277,302,327,353,378,403,428,453,479,503,
25,50,75,100,125,151,176,201,226,250,276,302,328,353,378,403,427,453,477,503,
25,50,75,101,125,151,176,201,216,233,135,144,162,179,188,209,211,223,239,256,
13,23,43,60,62,74,86,100,117,128,134,158,162,178,191,201,208,225,243,253,
10,29,35,48,60,77,84,96,109,124,136,156,157,176,191,196,211,226,238,250,
11,26,41,54,60,77,88,99,117,118,135,147,159,171,190,205,214,225,237,253,
11,24,40,49,66,75,92,105,110,122,143,147,164,179,186,197,217,231,242,243,
10,19,38,51,60,72,85,98,109,122,137,152,162,179,179,200,220,223,236,248,
Avg:
96514831,94522632,68,97422482,111,172,97318396,53738749,197,94524311,234,8858,298,91817165,97422713,195379634,96513312,96513336,1647,96512911,
