App,Package,Start Time,Duration,Filename
"<System>",,"Sep 3, 2013 @ 11:34:02 AM","4 min 27 sec","Trepn_2013.09.03_113402.db"

Time  [ms],"Percent Battery Remaining [%]",Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"CPU Load [%]",Time  [ms],"Normalized CPU Load [%]",Time  [ms],"CPU0 - Frequency [kHz]",Time  [ms],"CPU1 - Frequency [kHz]",Time  [ms],"Application State",Description,
51,24,20,0,55,216745,53,50,51,12,53,1026000,27,1512000,28,0,,
146,24,124,0,151,52031,148,81,146,36,149,1512000,124,1458000,125,0,,
227,24,221,0,231,657930,228,35,226,19,229,1512000,222,1026000,222,0,,
344,24,322,0,355,143517,352,42,343,14,353,1026000,323,1026000,324,0,,
638,24,602,0,643,0,640,0,638,22,641,1026000,603,1026000,604,0,,
652,24,644,0,657,0,654,50,651,27,654,1026000,644,1026000,645,0,,
686,24,657,0,691,0,688,42,685,8,689,1026000,658,1026000,658,0,,
745,24,735,0,750,0,747,35,745,15,748,1026000,736,1026000,736,0,,
847,24,835,0,867,0,862,0,846,12,865,1026000,836,1026000,837,0,,
944,24,936,0,948,0,945,43,943,16,946,1026000,937,1026000,937,0,,
1059,24,1049,0,1065,0,1062,50,1058,16,1063,1026000,1050,1026000,1050,0,,
1159,24,1149,0,1166,0,1163,52,1159,16,1164,1026000,1150,1026000,1151,0,,
1257,24,1250,0,1266,0,1262,30,1257,11,1263,1026000,1251,1026000,1251,0,,
1359,24,1351,0,1364,0,1361,38,1358,13,1362,1026000,1352,1026000,1352,0,,
1664,24,1657,0,1669,0,1666,64,1664,22,1667,1026000,1658,1026000,1658,0,,
1679,24,1670,0,1684,0,1681,33,1679,16,1682,1026000,1671,1026000,1671,0,,
1712,24,1685,0,1718,0,1714,85,1711,25,1714,1026000,1686,1026000,1686,0,,
1763,24,1756,0,1768,0,1765,40,1762,16,1765,1026000,1757,1026000,1757,0,,
1868,24,1857,0,1892,0,1889,38,1867,10,1890,1026000,1858,1026000,1859,0,,
1965,24,1958,0,1971,0,1967,40,1965,15,1969,1026000,1959,1026000,1959,0,,
2074,24,2058,0,2081,47482,2077,69,2074,21,2078,1512000,2060,594000,2060,0,,
2172,24,2159,0,2182,0,2176,56,2171,17,2178,918000,2160,486000,2161,0,,
2266,24,2259,0,2279,0,2271,43,2265,13,2277,1512000,2260,1512000,2260,0,,
2372,24,2360,0,2380,216548,2374,0,2372,31,2375,1134000,2360,1512000,2360,0,,
2683,24,2674,0,2688,1547393,2685,0,2683,39,2686,1512000,2675,1512000,2675,0,,
2701,24,2689,0,2707,1488646,2704,57,2701,50,2704,1512000,2689,1512000,2690,0,,
2718,24,2707,0,2741,18602,2735,46,2717,28,2739,1458000,2707,1512000,2708,0,,
2776,24,2762,0,2781,41599,2778,25,2776,17,2779,1026000,2763,1242000,2763,0,,
2901,24,2864,0,2907,0,2904,0,2900,9,2905,1026000,2865,1026000,2866,0,,
2976,24,2966,0,2984,215523,2980,0,2976,11,2981,1026000,2967,1026000,2967,0,,
3082,24,3068,0,3104,0,3084,72,3079,22,3088,1026000,3069,1026000,3069,0,,
3175,24,3168,0,3178,170015,3176,0,3174,37,3176,1512000,3169,1512000,3169,0,,
3282,24,3269,0,3287,254672,3284,37,3281,19,3285,1512000,3270,1512000,3270,0,,
3378,24,3369,0,3383,707142,3380,35,3377,18,3381,1026000,3370,1026000,3370,0,,
3646,24,3640,0,3650,932258,3648,59,3646,28,3648,1512000,3641,1512000,3641,0,,
3663,24,3650,0,3675,344733,3672,60,3662,25,3673,1512000,3651,1512000,3651,0,,
3681,24,3675,0,3685,789319,3682,57,3681,43,3683,1512000,3676,1512000,3676,0,,
3784,24,3773,0,3791,39808,3786,24,3783,12,3787,1026000,3774,1026000,3774,0,,
3881,24,3873,0,3886,479967,3883,0,3881,16,3884,1026000,3874,1026000,3875,0,,
3981,24,3974,0,3992,0,3989,36,3980,11,3989,1026000,3974,1026000,3975,0,,
4083,24,4074,0,4089,0,4085,61,4082,19,4086,1026000,4075,1026000,4076,0,,
4180,24,4175,0,4187,0,4184,27,4180,12,4185,1512000,4175,1026000,4176,0,,
4280,24,4275,0,4283,0,4281,26,4279,12,4281,1512000,4275,1026000,4276,0,,
4383,24,4376,0,4392,0,4389,25,4382,9,4390,1026000,4376,1026000,4377,0,,
4674,24,4660,0,4680,0,4676,68,4674,23,4677,1026000,4662,1026000,4662,0,,
4697,24,4680,0,4702,0,4699,75,4697,19,4700,1026000,4681,1026000,4681,0,,
4710,24,4703,0,4715,0,4712,66,4710,25,4713,1026000,4703,1026000,4704,0,,
4790,24,4780,0,4814,0,4811,33,4789,8,4812,1026000,4781,1026000,4781,0,,
4887,24,4880,0,4893,0,4890,25,4887,11,4890,1026000,4881,1026000,4881,0,,
4990,24,4981,0,4996,0,4992,29,4990,6,4993,1026000,4981,1026000,4982,0,,
5088,24,5081,0,5094,0,5091,50,5088,17,5092,1026000,5082,1026000,5082,0,,
5150,24,5150,0,5193,0,5190,42,5187,16,5191,1512000,5182,1026000,5182,0,,
5187,24,5181,0,5293,0,5290,31,5289,13,5291,1512000,5284,1026000,5285,0,,
5289,24,5284,0,5414,0,5408,18,5395,1,5410,384000,5384,1026000,5384,0,,
5396,24,5383,0,5687,12759,5685,71,5682,21,5686,1512000,5677,1512000,5677,0,,
5682,24,5676,0,5708,54028,5706,75,5701,25,5706,1512000,5688,1512000,5689,0,,
5704,24,5688,0,5718,5088,5716,50,5714,41,5716,918000,5709,1512000,5709,0,,
5714,24,5708,0,5820,0,5815,33,5805,8,5817,384000,5790,1026000,5791,0,,
5807,24,5789,0,5914,0,5910,38,5905,12,5911,384000,5890,1512000,5891,0,,
5906,24,5889,0,6014,0,6009,21,6001,2,6011,384000,5990,1512000,5992,0,,
6006,24,5989,0,6113,0,6110,75,6101,15,6111,1512000,6091,1512000,6092,0,,
6102,24,6090,0,6199,0,6197,33,6195,16,6197,1512000,6191,384000,6191,0,,
6195,24,6190,0,6306,346122,6302,47,6299,12,6304,1512000,6292,1512000,6292,0,,
6301,24,6291,0,6402,83077,6399,66,6397,33,6400,1026000,6392,1458000,6392,0,,
6398,24,6392,0,6666,1702559,6663,0,6660,35,6664,1512000,6650,1512000,6650,0,,
6662,24,6649,0,6687,1647141,6685,33,6682,50,6685,1512000,6667,1512000,6667,0,,
6682,24,6666,0,6726,532813,6722,37,6702,31,6724,1512000,6695,1512000,6695,0,,
6703,24,6694,0,6805,942894,6803,0,6801,29,6803,1512000,6795,1512000,6796,0,,
6801,24,6795,0,6926,756232,6924,35,6908,20,6924,1134000,6896,1026000,6896,0,,
6910,24,6895,0,7006,1328878,7003,55,7002,32,7004,1026000,6996,1026000,6996,0,,
7002,24,6995,0,7133,1065753,7129,64,7102,39,7130,1512000,7096,1512000,7097,0,,
7102,24,7096,0,7215,500519,7211,0,7208,39,7212,1512000,7199,1026000,7199,0,,
7208,24,7198,0,7325,786336,7322,55,7321,44,7323,1512000,7299,1512000,7299,0,,
7321,24,7298,0,7428,446295,7423,47,7415,48,7425,1512000,7400,1026000,7401,0,,
7416,24,7399,0,7750,469930,7747,62,7743,41,7748,1026000,7725,1026000,7726,0,,
7744,24,7724,0,7779,0,7775,58,7772,34,7777,1026000,7752,1026000,7752,0,,
7773,24,7751,0,7830,0,7827,47,7823,16,7828,1026000,7780,1026000,7781,0,,
7824,24,7780,0,7850,147293,7846,57,7842,20,7847,1026000,7832,1026000,7832,0,,
7842,24,7831,0,7976,0,7971,34,7966,12,7972,1026000,7908,1026000,7909,0,,
7967,24,7906,0,8040,0,8035,0,8031,10,8037,1026000,8008,1026000,8009,0,,
8032,24,8007,0,8132,0,8128,57,8123,23,8129,1026000,8109,1026000,8110,0,,
8124,24,8108,0,8237,0,8232,31,8227,12,8233,1026000,8210,1026000,8211,0,,
8228,24,8209,0,8323,0,8319,0,8317,12,8320,1026000,8311,1026000,8311,0,,
8318,24,8309,0,8432,0,8429,35,8417,10,8430,1026000,8411,1026000,8412,0,,
8418,24,8410,0,8729,291898,8726,0,8724,33,8727,1026000,8694,1242000,8695,0,,
8724,24,8694,0,8742,325962,8739,50,8737,36,8740,1026000,8730,1242000,8731,0,,
8737,24,8730,0,8770,725747,8767,28,8765,0,8768,1026000,8743,1026000,8744,0,,
8765,24,8743,0,8784,751362,8782,50,8780,27,8783,1026000,8772,1026000,8772,0,,
8781,24,8771,0,8892,659071,8889,7,8877,2,8889,1026000,8867,1026000,8867,0,,
8878,24,8866,0,8986,0,8979,0,8974,7,8981,1026000,8967,1026000,8968,0,,
8974,24,8967,0,9093,0,9085,35,9083,7,9086,1026000,9068,1026000,9068,0,,
9083,24,9067,0,9187,0,9184,0,9178,27,9184,1026000,9168,1512000,9169,0,,
9178,24,9167,0,9280,0,9277,7,9275,3,9278,1026000,9268,1512000,9269,0,,
9276,24,9268,0,9383,0,9380,0,9378,8,9381,1026000,9369,1026000,9369,0,,
9378,24,9368,0,9735,0,9732,54,9730,18,9733,1026000,9724,1026000,9724,0,,
9730,24,9723,0,9751,0,9746,50,9743,16,9749,1026000,9737,1026000,9737,0,,
9744,24,9736,0,9787,0,9784,57,9781,16,9785,1026000,9753,1026000,9755,0,,
9782,24,9752,0,9799,0,9796,50,9794,19,9797,1026000,9788,1026000,9789,0,,
9794,24,9787,0,9885,0,9882,40,9880,11,9883,1026000,9872,1026000,9872,0,,
9880,24,9871,0,9984,0,9981,23,9978,10,9981,1026000,9972,1026000,9973,0,,
9979,24,9971,0,10096,0,10092,33,10084,6,10094,1026000,10073,1026000,10073,0,,
10086,24,10072,0,10185,0,10181,64,10179,25,10182,1026000,10173,1026000,10173,0,,
10180,24,10172,0,10296,0,10293,29,10280,7,10294,1026000,10273,1026000,10274,0,,
10280,24,10273,0,10387,0,10384,20,10382,7,10385,1026000,10375,1026000,10375,0,,
10382,24,10374,0,10692,49563,10689,47,10687,18,10690,1026000,10676,1512000,10677,0,,
10688,24,10676,0,10701,0,10699,0,10697,0,10699,1026000,10692,1512000,10693,0,,
10697,24,10692,0,10738,0,10735,66,10728,0,10736,1026000,10702,1512000,10702,0,,
10729,24,10701,0,10796,0,10792,53,10789,16,10793,1026000,10779,1026000,10780,0,,
10790,24,10778,0,10895,0,10892,25,10888,8,10893,1026000,10879,1026000,10879,0,,
10888,24,10878,0,10991,0,10988,36,10986,14,10989,1026000,10979,1026000,10980,0,,
10986,24,10979,0,11100,0,11091,27,11088,8,11096,1026000,11080,1026000,11080,0,,
11089,24,11079,0,11191,0,11188,71,11186,25,11189,1026000,11180,1026000,11181,0,,
11187,24,11179,0,11292,0,11289,20,11287,6,11290,1026000,11281,1026000,11281,0,,
11287,24,11280,0,11392,0,11389,27,11387,8,11390,1026000,11381,1026000,11381,0,,
11388,24,11380,0,11772,145892,11770,55,11768,17,11770,1512000,11765,1512000,11765,0,,
11769,24,11764,0,11782,0,11779,100,11777,37,11780,1512000,11773,1512000,11773,0,,
11778,24,11772,0,11806,91319,11803,50,11802,0,11804,1512000,11782,1512000,11784,0,,
11802,24,11782,0,11814,0,11811,50,11810,16,11812,1512000,11806,1512000,11807,0,,
11810,24,11806,0,11902,0,11899,12,11898,8,11900,1512000,11888,1512000,11888,0,,
11898,24,11887,0,12017,0,12011,34,12006,6,12013,384000,11992,384000,11993,0,,
12007,24,11990,0,12147,0,12137,54,12122,5,12139,384000,12093,384000,12094,0,,
12124,24,12091,0,12202,225824,12199,0,12198,24,12200,1512000,12192,1512000,12193,0,,
12198,24,12192,0,12324,0,12321,9,12317,2,12322,810000,12293,1512000,12293,0,,
12319,24,12292,0,12407,0,12403,20,12401,11,12404,1026000,12393,1512000,12394,0,,
12401,24,12392,0,12538,1038715,12535,80,12533,44,12536,1512000,12494,1026000,12423,100,,
12534,24,12493,0,12790,1193195,12788,0,12786,69,12788,1512000,12761,1512000,12494,100,,
12786,24,12760,0,12805,990442,12802,66,12797,66,12803,1512000,12791,1512000,12761,100,,
12797,24,12790,0,12834,858473,12832,80,12830,62,12832,1512000,12806,1512000,12791,100,,
12830,24,12805,0,12909,1560755,12906,37,12904,47,12907,1512000,12896,1512000,12806,100,,
12905,24,12895,0,13018,0,13013,30,13009,24,13014,1026000,12997,1026000,12896,100,,
13010,24,12996,0,13143,554435,13140,0,13108,15,13141,1026000,13098,1026000,12998,100,,
13109,24,13097,0,13209,584889,13207,42,13205,26,13207,1026000,13198,1512000,13098,100,,
13205,24,13197,0,13341,285630,13338,31,13310,16,13339,1026000,13298,1512000,13199,100,,
13310,24,13298,0,13412,0,13409,19,13406,13,13409,1026000,13399,1026000,13299,100,,
13407,24,13398,0,13519,0,13516,0,13512,8,13517,1026000,13500,1026000,13399,100,,
13514,24,13499,0,13755,178961,13752,67,13748,25,13753,1026000,13737,1134000,13500,100,,
13748,24,13736,0,13779,88370,13776,85,13774,32,13777,1026000,13756,1134000,13737,100,,
13774,24,13756,0,13814,0,13811,28,13809,18,13812,1026000,13804,1512000,13767,100,,
13809,24,13803,0,13914,0,13911,16,13909,6,13912,1026000,13904,1512000,13804,100,,
13910,24,13904,0,14014,0,14012,5,14009,2,14012,1026000,14005,1512000,13905,100,,
14010,24,14004,0,14127,0,14124,34,14117,13,14125,1026000,14108,1026000,14005,100,,
14118,24,14106,0,14217,0,14214,60,14212,22,14215,1512000,14207,1026000,14108,100,,
14213,24,14207,0,14320,0,14317,25,14315,9,14318,1026000,14307,1026000,14208,100,,
14316,24,14307,0,14424,0,14418,30,14414,10,14419,1026000,14408,1026000,14308,100,,
14415,24,14407,0,14521,0,14518,31,14515,8,14519,1026000,14509,1026000,14408,100,,
14516,24,14508,0,14769,0,14765,63,14761,24,14766,1026000,14753,1026000,14509,100,,
14762,24,14751,0,14782,0,14779,100,14776,16,14779,1026000,14770,1026000,14753,100,,
14777,24,14769,0,14846,0,14843,58,14840,11,14844,1026000,14812,1026000,14770,100,,
14841,24,14811,0,14932,0,14926,53,14923,20,14927,1026000,14914,1026000,14812,100,,
14924,24,14913,0,15034,209623,15030,63,15027,25,15030,1026000,15014,1512000,14914,100,,
15028,24,15013,0,15153,367691,15130,77,15128,32,15131,1026000,15116,1458000,15018,100,,
15128,24,15114,0,15278,513960,15238,0,15236,39,15239,1512000,15217,1512000,15116,100,,
15157,24,15156,0,15345,0,15341,34,15336,19,15342,1026000,15319,1242000,15218,100,,
15237,24,15217,0,15517,0,15510,27,15489,7,15513,384000,15419,1026000,15280,101,S-ProfessionalGeneralProfile,
15337,24,15317,0,15564,322104,15557,63,15552,16,15558,384000,15523,1512000,15319,101,S-ProfessionalGeneralProfile,
15491,24,15418,0,15935,1576891,15915,74,15913,51,15917,1512000,15901,1512000,15420,101,S-ProfessionalGeneralProfile,
15553,24,15522,0,15947,2116343,15945,90,15943,93,15945,1512000,15936,1458000,15524,101,S-ProfessionalGeneralProfile,
15913,24,15900,0,15982,2295004,15980,100,15978,99,15980,1512000,15948,1458000,15901,101,S-ProfessionalGeneralProfile,
15943,24,15936,0,15999,1347052,15995,100,15993,99,15997,1512000,15985,1512000,15936,101,S-ProfessionalGeneralProfile,
15978,24,15948,0,16064,1899577,16062,79,16059,85,16062,1512000,16033,1512000,15948,101,S-ProfessionalGeneralProfile,
15993,24,15983,0,16153,919572,16150,67,16148,68,16150,1242000,16137,1512000,15985,101,S-ProfessionalGeneralProfile,
16060,24,16032,0,16246,87379,16244,33,16243,29,16245,594000,16237,1512000,16033,101,S-ProfessionalGeneralProfile,
16148,24,16136,0,16388,0,16383,0,16378,7,16384,384000,16338,594000,16137,101,S-ProfessionalGeneralProfile,
16243,24,16237,0,16467,0,16461,30,16455,7,16463,384000,16439,486000,16237,101,S-ProfessionalGeneralProfile,
16379,24,16337,0,16623,0,16620,0,16573,7,16621,1512000,16542,384000,16338,101,S-ProfessionalGeneralProfile,
16456,24,16438,0,16919,361113,16914,0,16897,26,16916,1512000,16891,1512000,16440,101,S-ProfessionalGeneralProfile,
16574,24,16540,0,16945,951972,16940,50,16935,35,16942,1512000,16922,1458000,16543,101,S-ProfessionalGeneralProfile,
16898,24,16890,0,16966,718017,16964,90,16962,35,16964,1134000,16948,1458000,16891,101,S-ProfessionalGeneralProfile,
16936,24,16920,0,16987,264746,16982,80,16981,48,16983,1134000,16976,1242000,16923,101,S-ProfessionalGeneralProfile,
16962,24,16947,0,17063,1062672,17060,37,17057,20,17061,702000,17044,1242000,16949,101,S-ProfessionalGeneralProfile,
16981,24,16967,0,17178,1046719,17174,52,17168,24,17175,486000,17145,1512000,16976,101,S-ProfessionalGeneralProfile,
17058,24,17043,0,17273,574761,17264,61,17260,25,17270,384000,17245,1512000,17044,101,S-ProfessionalGeneralProfile,
17169,24,17144,0,17356,71652,17353,41,17351,19,17354,384000,17345,1134000,17146,101,S-ProfessionalGeneralProfile,
17260,24,17244,0,17484,0,17478,27,17470,6,17480,384000,17448,384000,17245,101,S-ProfessionalGeneralProfile,
17352,24,17345,0,17556,0,17554,45,17553,13,17555,1512000,17547,384000,17346,101,S-ProfessionalGeneralProfile,
17473,24,17446,0,17780,0,17777,0,17774,27,17778,810000,17768,1026000,17448,101,S-ProfessionalGeneralProfile,
17553,24,17547,0,17797,0,17793,75,17791,16,17794,810000,17782,1026000,17548,101,S-ProfessionalGeneralProfile,
17775,24,17767,0,17861,0,17858,46,17856,12,17859,594000,17849,918000,17769,101,S-ProfessionalGeneralProfile,
17791,24,17781,0,17984,0,17978,23,17966,3,17980,384000,17951,384000,17782,101,S-ProfessionalGeneralProfile,
17856,24,17848,0,18072,0,18070,70,18068,9,18070,384000,18052,384000,17849,101,S-ProfessionalGeneralProfile,
17968,24,17949,0,18188,0,18166,29,18159,9,18167,384000,18151,702000,17953,101,S-ProfessionalGeneralProfile,
18068,24,18050,0,18260,0,18258,78,18256,17,18258,1512000,18252,486000,18052,101,S-ProfessionalGeneralProfile,
18161,24,18150,0,18380,0,18363,30,18359,9,18365,384000,18353,594000,18152,101,S-ProfessionalGeneralProfile,
18256,24,18251,0,18464,0,18462,50,18460,10,18462,384000,18455,1512000,18252,101,S-ProfessionalGeneralProfile,
18360,24,18352,0,18583,0,18576,23,18558,5,18578,384000,18554,1512000,18353,101,S-ProfessionalGeneralProfile,
18461,24,18455,0,18838,0,18833,69,18828,23,18835,810000,18820,702000,18455,101,S-ProfessionalGeneralProfile,
18558,24,18553,0,18871,0,18867,71,18864,14,18868,702000,18839,702000,18554,101,S-ProfessionalGeneralProfile,
18828,24,18819,0,18888,0,18884,66,18881,15,18885,702000,18872,702000,18821,101,S-ProfessionalGeneralProfile,
18865,24,18838,0,19009,0,19002,38,18988,3,19004,384000,18958,486000,18840,101,S-ProfessionalGeneralProfile,
18881,24,18871,0,19066,0,19064,58,19062,15,19064,384000,19058,1512000,18873,101,S-ProfessionalGeneralProfile,
18989,24,18956,0,19177,0,19173,21,19168,5,19174,384000,19159,594000,18958,101,S-ProfessionalGeneralProfile,
19062,24,19057,0,19288,267419,19284,0,19279,11,19285,1512000,19267,384000,19058,101,S-ProfessionalGeneralProfile,
19170,24,19158,0,19380,0,19376,21,19372,15,19377,384000,19360,1512000,19159,101,S-ProfessionalGeneralProfile,
19280,24,19259,0,19517,0,19511,26,19507,8,19513,384000,19460,1512000,19268,101,S-ProfessionalGeneralProfile,
19373,24,19359,0,19597,0,19590,0,19582,6,19592,384000,19564,384000,19361,101,S-ProfessionalGeneralProfile,
19507,24,19459,0,20030,0,20026,72,20022,17,20028,1512000,20012,486000,19461,101,S-ProfessionalGeneralProfile,
19583,24,19561,0,20059,0,20056,83,20055,20,20057,1512000,20031,486000,19565,101,S-ProfessionalGeneralProfile,
20022,24,20011,0,20067,0,20065,50,20063,20,20065,1512000,20059,486000,20013,101,S-ProfessionalGeneralProfile,
20055,24,20031,0,20097,101282,20087,50,20082,0,20089,1512000,20068,486000,20031,101,S-ProfessionalGeneralProfile,
20063,24,20059,0,20122,781777,20118,100,20117,27,20119,1512000,20099,486000,20060,101,S-ProfessionalGeneralProfile,
20083,24,20067,0,20194,0,20191,50,20189,18,20192,1026000,20182,384000,20068,101,S-ProfessionalGeneralProfile,
20117,24,20098,0,20301,24717,20297,65,20292,13,20298,486000,20283,1512000,20099,101,S-ProfessionalGeneralProfile,
20189,24,20181,0,20465,0,20456,60,20450,12,20458,384000,20389,384000,20183,101,S-ProfessionalGeneralProfile,
20293,24,20282,0,20503,0,20501,28,20499,11,20501,1512000,20495,384000,20284,101,S-ProfessionalGeneralProfile,
20451,24,20383,0,20637,0,20630,44,20622,5,20632,384000,20597,384000,20390,101,S-ProfessionalGeneralProfile,
20499,24,20495,0,20989,0,20986,73,20967,20,20987,918000,20960,1512000,20495,101,S-ProfessionalGeneralProfile,
20625,24,20596,0,21001,0,20998,66,20996,33,20999,918000,20990,1512000,20598,101,S-ProfessionalGeneralProfile,
20967,24,20959,0,21018,0,21015,33,21007,0,21016,1512000,21002,1512000,20960,101,S-ProfessionalGeneralProfile,
20996,24,20990,0,21037,92568,21034,75,21032,20,21035,1512000,21019,1512000,20990,101,S-ProfessionalGeneralProfile,
21007,24,21001,0,21058,0,21056,25,21054,23,21056,1512000,21050,1512000,21002,101,S-ProfessionalGeneralProfile,
21033,24,21018,0,21173,0,21168,30,21164,10,21169,384000,21151,702000,21019,101,S-ProfessionalGeneralProfile,
21054,24,21050,0,21261,0,21257,62,21256,13,21259,1512000,21251,384000,21050,101,S-ProfessionalGeneralProfile,
21165,24,21150,0,21370,0,21367,60,21359,17,21368,594000,21352,1512000,21152,101,S-ProfessionalGeneralProfile,
21256,24,21251,0,21460,0,21458,29,21456,9,21458,594000,21452,1512000,21251,101,S-ProfessionalGeneralProfile,
21360,24,21351,0,21587,0,21577,31,21563,7,21579,384000,21553,594000,21353,101,S-ProfessionalGeneralProfile,
21457,24,21452,0,21896,0,21892,67,21889,22,21893,594000,21880,1512000,21452,101,S-ProfessionalGeneralProfile,
21564,24,21552,0,21915,0,21912,50,21908,29,21913,594000,21898,1512000,21554,101,S-ProfessionalGeneralProfile,
21890,24,21880,0,21933,0,21929,50,21925,21,21930,594000,21917,1350000,21880,101,S-ProfessionalGeneralProfile,
21909,24,21897,0,22023,0,21974,55,21968,4,21975,486000,21955,1350000,21898,101,S-ProfessionalGeneralProfile,
21926,24,21916,0,22067,0,22065,50,22064,13,22066,384000,22060,1512000,21917,101,S-ProfessionalGeneralProfile,
21969,24,21954,0,22191,0,22184,30,22171,6,22188,384000,22160,1512000,21955,101,S-ProfessionalGeneralProfile,
22064,24,22059,0,22300,0,22294,71,22286,9,22296,384000,22265,384000,22060,101,S-ProfessionalGeneralProfile,
22171,24,22159,0,22371,787599,22369,0,22367,27,22370,1512000,22361,1512000,22160,101,S-ProfessionalGeneralProfile,
22288,24,22260,0,22470,0,22468,27,22466,17,22468,1512000,22461,1512000,22266,101,S-ProfessionalGeneralProfile,
22368,24,22360,0,22616,0,22606,0,22599,3,22608,384000,22562,594000,22361,101,S-ProfessionalGeneralProfile,
22466,24,22460,0,22929,0,22917,65,22913,21,22918,1512000,22900,384000,22461,101,S-ProfessionalGeneralProfile,
22601,24,22561,0,22963,0,22954,71,22949,23,22959,1512000,22931,384000,22563,101,S-ProfessionalGeneralProfile,
22914,24,22900,0,22973,209054,22969,66,22968,23,22971,1512000,22963,1512000,22900,101,S-ProfessionalGeneralProfile,
22951,24,22930,0,23000,112190,22997,66,22996,12,22998,1512000,22978,1512000,22932,101,S-ProfessionalGeneralProfile,
22968,24,22963,0,23085,0,23082,16,23081,12,23083,1512000,23077,1512000,22964,101,S-ProfessionalGeneralProfile,
22996,24,22976,0,23198,0,23195,57,23191,15,23196,594000,23179,384000,22978,101,S-ProfessionalGeneralProfile,
23081,24,23076,0,23303,925129,23299,0,23297,15,23299,384000,23281,1512000,23077,101,S-ProfessionalGeneralProfile,
23192,24,23177,0,23415,331339,23411,0,23406,26,23412,1512000,23379,1512000,23179,101,S-ProfessionalGeneralProfile,
23297,24,23278,0,23504,8097,23499,16,23495,16,23501,1512000,23480,1512000,23282,101,S-ProfessionalGeneralProfile,
23407,24,23379,0,23683,0,23680,0,23612,4,23681,1512000,23584,384000,23380,101,S-ProfessionalGeneralProfile,
23496,24,23479,0,23692,0,23689,50,23688,13,23690,1512000,23684,384000,23481,101,S-ProfessionalGeneralProfile,
23614,24,23580,0,24009,0,24005,69,24000,21,24006,1512000,23989,384000,23585,101,S-ProfessionalGeneralProfile,
23688,24,23683,0,24021,0,24019,33,24015,6,24019,1512000,24011,1512000,23684,101,S-ProfessionalGeneralProfile,
24001,24,23987,0,24040,75523,24038,66,24036,25,24038,1512000,24022,1512000,23990,101,S-ProfessionalGeneralProfile,
24017,24,24010,0,24093,0,24090,27,24089,15,24091,1512000,24085,1512000,24012,101,S-ProfessionalGeneralProfile,
24037,24,24022,0,24218,0,24216,31,24204,4,24216,384000,24186,594000,24022,101,S-ProfessionalGeneralProfile,
24089,24,24084,0,24299,0,24296,50,24293,12,24297,384000,24289,1512000,24085,101,S-ProfessionalGeneralProfile,
24205,24,24185,0,24407,140539,24405,65,24394,15,24405,1512000,24390,384000,24186,101,S-ProfessionalGeneralProfile,
24294,24,24288,0,24499,0,24497,33,24496,18,24498,1512000,24492,1512000,24289,101,S-ProfessionalGeneralProfile,
24395,24,24390,0,24629,0,24623,28,24610,4,24626,384000,24594,384000,24391,101,S-ProfessionalGeneralProfile,
24496,24,24491,0,24712,0,24709,37,24706,13,24710,384000,24693,1512000,24492,101,S-ProfessionalGeneralProfile,
24616,24,24592,0,25003,207893,25001,74,24999,23,25001,1026000,24986,1512000,24595,101,S-ProfessionalGeneralProfile,
24707,24,24692,0,25018,129599,25015,75,25013,16,25016,810000,25004,1512000,24694,101,S-ProfessionalGeneralProfile,
24999,24,24985,0,25043,105580,25040,50,25027,31,25041,810000,25019,1512000,24986,101,S-ProfessionalGeneralProfile,
25013,24,25004,0,25118,0,25110,16,25106,5,25115,384000,25098,1512000,25005,101,S-ProfessionalGeneralProfile,
25027,24,25018,0,25233,0,25224,45,25210,9,25226,384000,25199,594000,25019,101,S-ProfessionalGeneralProfile,
25107,24,25097,0,25325,0,25323,76,25320,14,25323,1512000,25300,1512000,25099,101,S-ProfessionalGeneralProfile,
25156,24,25156,0,25407,0,25405,35,25403,18,25405,1512000,25399,702000,25200,101,S-ProfessionalGeneralProfile,
25212,24,25198,0,25507,0,25505,22,25504,8,25506,1512000,25500,384000,25300,101,S-ProfessionalGeneralProfile,
25322,24,25298,0,25628,0,25623,52,25618,8,25625,384000,25602,384000,25400,101,S-ProfessionalGeneralProfile,
25404,24,25399,0,25937,0,25933,61,25930,21,25934,1026000,25921,594000,25500,101,S-ProfessionalGeneralProfile,
25504,24,25499,0,25974,0,25970,83,25964,22,25972,1512000,25939,594000,25604,101,S-ProfessionalGeneralProfile,
25619,24,25600,0,25990,0,25986,75,25983,21,25987,1512000,25976,594000,25922,101,S-ProfessionalGeneralProfile,
25930,24,25920,0,26034,0,26030,14,26026,3,26032,1512000,26016,486000,25943,101,S-ProfessionalGeneralProfile,
25965,24,25938,0,26139,0,26134,40,26129,9,26135,594000,26117,384000,25976,101,S-ProfessionalGeneralProfile,
25984,24,25975,0,26260,0,26251,35,26236,4,26253,384000,26218,384000,26016,101,S-ProfessionalGeneralProfile,
26027,24,26015,0,26333,84581,26330,0,26328,22,26331,384000,26318,1512000,26118,101,S-ProfessionalGeneralProfile,
26130,24,26115,0,26453,546160,26449,36,26444,15,26450,1512000,26418,1512000,26219,101,S-ProfessionalGeneralProfile,
26237,24,26216,0,26544,0,26540,19,26535,12,26541,702000,26519,594000,26319,101,S-ProfessionalGeneralProfile,
